scenario_id,turn,verdict,main_issue,note
S001,1,Pass,None,"DDPM one-step Markovian vs DDIM non-Markovian jump via x̂_0 all match the notes; source_mode=file; DDIM master step and DDIM-to-DDPM connection (t'=t−1, η=1) quoted correctly."
S001,2,Small Issue,Incorrect content,"η=0 deterministic/ODE and η=1+t'=t−1→DDPM behavior all correct and quotes the notes' Deterministic-DDIM caveat, but writes σ_t² = η·(1−ᾱ_t')/(1−ᾱ_t)·(1−ᾱ_t/ᾱ_t') — squaring the notes' σ_t = η√(...)√(...) requires η², not η."
S001,3,Pass,None,"Closed-form jump x_t=√ᾱ_t·x_0+√(1−ᾱ_t)·ε with ᾱ_t=∏α_i, sum-of-Gaussians/variances-add reasoning, and boundary ᾱ_T≈0→x_T~N(0,I) all match the notes' Reparameterization Trick caveat, quoted verbatim."
S001,4,Small Issue,Incorrect content,"Exactly 4 questions on the built-up η/closed-form material with a real generated artifact and correct answer key, but the Q3 stem inverts both ratios of the notes' DDIM variance: σ_t = η√((1−ᾱ_t)/(1−ᾱ_t'))√(1−ᾱ_t'/ᾱ_t) instead of η√((1−ᾱ_t')/(1−ᾱ_t))√(1−ᾱ_t/ᾱ_t')."
S001,5,Small Issue,Changed unrelated content,"Student version has all 4 questions and zero answer leakage, but the Q3 formula was silently altered from the teacher version (first ratio now matches the notes, second factor still inverted as 1−ᾱ_t'/ᾱ_t, which is negative for t'<t)."
S001,6,Pass,None,"Correctly names 06_diffusion_ddpm_ddim_notes.pdf as the single source used throughout; no invented files, no hedging."
S002,1,Pass,None,"Auto-selected 07_flow_matching_notes.pdf with source_mode=file; interpolant X_t = tX_1+(1−t)X_0 (t=0 noise, t=1 data) and target velocity v = X_1−X_0 both match the notes."
S002,2,Small Issue,Incorrect content,"VE drift f=0 and VP drift f=−½β(t)x_t are correct with f/g roles identified, but it writes the VE-SDE as dx=σ(t)dW_t where the notes have dx=√(dσ²(t)/dt)dW_t."
S002,3,Fail,Incorrect content,"Predictor written as x_{i−1}=x_i−[f−½g²S_θ]Δt+g·Z_i — the ½ belongs only to the probability-flow ODE per the notes' trap warning, and the √Δt scaling on the noise is dropped; the Langevin corrector is also given with a wrong sign (x←x−αS_θ+√(2α)Z); the notes' ODE-halves-score/drops-noise contrast is never mentioned."
S002,4,Fail,Other,"Only an answer key is delivered (5 answers, all supported by the notes: v=X_1−X_0, VE f=0, VP drift, predictor components) — the quiz questions themselves never appear, and it claims 'the quiz card is now ready in your panel' while the transcript records no suggestion and no artifact."
S002,5,Fail,Missed instruction,"Responds only 'the quiz is generated and ready to publish' — no student version is produced anywhere in the transcript (nothing leaked, but nothing delivered either)."
S002,6,Fail,Other,"Names the right file (07_flow_matching_notes.pdf) but contradicts the user by claiming 'the file you attached to this message' after the user said they never picked one, and leaks internal prompt scaffolding ('<selected_course_sources> block', 'FOCUS')."
S003,1,Fail,Incorrect content,"Gap handling is right (says VAE notes don't cover GRPO, points to 11_ppo_dpo_grpo_alignment.pptx, labels the rest 'general knowledge') but that content is wrong: expands GRPO as 'Generalized Reward Policy Optimization' and describes it as generalizing DPO via importance weighting, contradicting the course's group-normalized-advantage GRPO."
S003,2,Pass,None,"Points to 11_ppo_dpo_grpo_alignment.pptx and 09_ar_alignment_rlhf_notes.pdf; cited section titles ('Direct Preference Optimization (DPO) and GRPO' slide 5, 'GRPO Relative Advantage (Normalization)') verify against the real files; only nit is calling the PDF's sections 'slides'."
S003,3,Pass,None,Confirms the switch to the alignment sources without re-asking the topic; source_mode=file.
S003,4,Small Issue,Incorrect content,"Ã_{i,t}=(r_i−r̄)/σ_r, K-completion group sampling, no-critic point, and exam keywords all match the notes verbatim, but it invents yet another acronym expansion, 'Group Relative Advantage Optimization'."
S003,5,Fail,Incorrect content,"PPO ratio/clipped-surrogate/4-models and GRPO group-statistics distinctions are right, but the DPO implicit-reward margin is inverted — written as β·log(π_ref(y+)/π_θ(y+)) where the notes have β·log(π_θ(y+)/π_ref(y+)); Bradley-Terry loss never mentioned; stray literal code fence around the intro line."
S003,6,Pass,None,"Comparison table reuses the built-up definitions; every row (4/2/3 models, reference model for KL in all three, data formats) checks out against the notes and PA2 deck."
S003,7,Pass,None,"Real generated artifact: exactly 5 questions derived from the table (model requirements, advantage, data format, complexity, KL), no answers exposed in the student-facing chat text."
S003,8,Pass,None,"Credits 09 and 11 (with section names that exist in those files), not the originally selected VAE notes."
S004,1,Small Issue,Incorrect content,"Corruption comparison is right (NCSN x̃=x+σε with no signal scaling; DDPM iterative √α_t scaling + closed-form jump; both files used, source_mode=file), but it volunteers the score target as −ε/σ² while pairing it with x̃=x+σε — the notes' primary form for that corruption is −ε/σ."
S004,2,Fail,Incorrect content,"DDPM side is correct (predicts ε, L_simple=||ε−ε_θ||²), but the NCSN score target is given as −ε/σ² throughout (notes: −ε/σ), the weighted loss as σ²||S_θ+ε/σ²||² (notes: ||σS_θ+ε||²), the ALD update as x+α_iS_θ+√(2α_i)Z (notes: (α_i/2)S_θ+√α_i·Z), and the L_vlb coefficient doesn't match the notes either."
S004,3,Fail,Incorrect content,"ALD update again written α_i·S_θ + √(2α_i)·Z, missing exactly the notes' trap ('divide the step size by 2 for the gradient term, square-root it for the noise term'); step size α_i=ε_step·σ_i²/σ_L² and the DDPM step with z=0 at t=1 are correct; message is cut off mid-sentence at the end."
S004,4,Small Issue,Incorrect content,"The conversion S_θ=−ε_θ/√(1−ᾱ_t) is correct with the right direction and sign, but the 'why' derivation writes S_true=−ε/(1−ᾱ_t)=−ε_θ/√(1−ᾱ_t), an equation that is wrong as written and inconsistent with its own earlier −ε/σ² claim."
S004,5,Fail,Incorrect content,"Table reuses turns 1-4 material, but the score-target cell says −ε/σ² where the scenario explicitly requires it to stay −ε/σ, the ALD row keeps the wrong α_i/√(2α_i) constants, and the whole table is wrapped in a literal code fence so it would not render."
S004,6,Fail,Lost previous work,"Told 'dont touch the rest of the table' but the Noise Parameterization and Cumulative Corruption rows are deleted, remaining rows are reordered, and the new Loss Functions row largely duplicates the existing Training Loss row."
S004,7,Fail,Incorrect content,"Six on-topic questions with answers and no drift into unselected files, but Q1's answer re-asserts the −ε/σ² score target (contradicting both the notes and its own Q4 answer, which correctly uses −ε/√(1−ᾱ_t))."
S005,1,Small Issue,Other,"Setup deviation: only outline+intro+handwritten were selected, not all 13 files, so the guide is built from the outline's week-by-week topics — which all verify against the real outline (5 families, guidance weeks 7-8, DLMs week 11, hybrids week 14) — but the message truncates mid-section 13 and includes the ungrounded claim 'VAEs are a special case of score-based models'; nothing is attributed to the unreadable file 14."
S005,2,Fail,Missed instruction,Asked for 5 cross-topic connections without rewriting; the reply is a near-verbatim repeat of the turn-1 guide with no connections anywhere in the delivered text (truncated at the same point).
S005,3,Fail,Other,"Adds 2 formulas per section (ELBO, AR chain rule, closed-form jump, InfoNCE all correct) but the output truncates mid-ViT formula, so sections 8-13 and their formulas are missing from the delivered guide; the 'score SDE' formula shown mixes the ODE's ½g² into a dW equation."
S005,4,Pass,None,"Complete one-page condensation keeping every topic block, with 5 plausible cross-topic connections finally added and surviving formulas intact."
S005,5,Small Issue,Other,"Ten questions spanning the outline's weeks 1-14 with nothing from the handwritten file, but Q1 and Q4 are ambiguous double-answer MCQs ('Correct: B and D', 'D — both A and B') and Q10's explanation is cut off."
S005,6,Fail,Other,"Teacher key matches the turn-5 questions and answers are consistent, but the message truncates mid-Q8 — answers for Q9 and Q10 are never delivered."
S005,7,Small Issue,Other,All 10 questions in student format with zero answers leaked (answer-leak check clean); Q10's option D is clipped mid-word by truncation.
S005,8,Fail,Other,"Glossary is appended to the guide with accurate definitions, but the output truncates in the D entries ('ELBO (' cut mid-word) — terms E through Z are missing."
S005,9,Small Issue,Other,"Attributions are verifiably accurate (outline weekly topics, intro's 60/40 oral-written PA split, slide 7 text-and-images scope) and file 14 is honestly reported as 'full text not extracted' (though it then 'assumes' its contents); the artifact inventory lists a connections-expanded guide that turn 2 never actually delivered, and the tail is truncated."
S006,1,Pass,None,"Tweedie E[x|x̃]=x̃+σ²∇logP(x̃) with the notes' exact where-you-are/direction/step-size intuition, and the 'Combo B' (Score vs. MSE) framing verifies against the VAE cheat sheet; source_mode=file."
S006,2,Pass,None,"z=μ_φ(x)+σ_φ(x)⊙ε with ε~N(0,I) and the notes' 'decouples random sampling from deterministic parameters so backpropagation can occur' rationale, quoted correctly."
S006,3,Pass,None,"Switches to the diffusion notes in stride: closed-form jump x_t=√ᾱ_t·x_0+√(1−ᾱ_t)·ε, ᾱ_t=∏α_i, iterative step √(1−β_t)x_{t−1}+√β_t·ε, and the sum-of-Gaussians caveat all match; no re-asking."
S006,4,Pass,None,"Resolves 'first file'=VAE notes and 'second file'=diffusion notes correctly, states the real shared-Gaussian link (reparameterization ↔ closed-form jump), no misattribution."
S006,5,Pass,None,SNR_t=ᾱ_t/(1−ᾱ_t) attributed to the diffusion notes with the notes' 'ratio of data to noise' and 'Core Parameters & Schedules' framing.
S006,6,Pass,None,"'First file' resolves back to the VAE notes; negative ELBO = −E_q[logP_θ(x|z)] + D_KL(q_φ(z|x)||P_θ(z)) matches Eq 2.2, and the cited 'Posterior Collapse, Equation 2.5' really exists in that file."
S006,7,Fail,Other,"Reply claims a 4-question labeled quiz with answers ('2 on VAEs/DAEs and 2 on diffusion') but the transcript contains no questions, no suggestion params, and no artifact — and the set later revealed in turn 8 is actually 3 VAE + 1 diffusion (Tweedie, reparam, ELBO vs closed-form jump), violating '2 from each file'."
S006,8,Pass,None,Four questions delivered with no answers and no file labels — leak check clean — though it inherits turn 7's 3-VAE/1-diffusion imbalance.
S007,1,Pass,None,"KL penalty formula β·log(π_θ/π_ref) with the correct ratio direction, subtracted from the task reward to constrain drift from the reference model — matches the notes; source_mode=file."
S007,2,Pass,None,"L(ψ)=−log σ(r_ψ(x,y+)−r_ψ(x,y−)) exactly as in the notes' Reward Model (Critic) Loss, with a correct pairwise-ranking explanation."
S007,3,Fail,Other,"Reply says 'Here's a 3-question quiz... answers below each one' but no questions, no suggestion params, and no artifact appear anywhere in the transcript — the promised quiz was never delivered."
S007,4,Pass,None,"Explicit selection wins over the alignment history: 224/16=14, N=196 patches, 197 tokens with [CLS], correctly cited to Problem 1 of the VLM notes with no alignment bleed."
S007,5,Pass,None,"CLIP loss setup matches the file exactly: ℓ_ij=u_iᵀv_j/τ, per-image −log softmax on the diagonal, symmetric ½(L_I→T+L_T→I), the InfoNCE alignment+uniformity decomposition, and lower-τ-sharper-softmax per Problem 3."
S007,6,Fail,Incorrect content,"Real 4-question VLM-only artifact (no alignment leakage; Q1 tokenization and Q4 LLaVA budget 49→75 are correct), but the answer key's Q2 CLIP loss is wrong arithmetic: for diagonal logits 1.5 vs 0 off-diagonal, −log(e^1.5/(e^1.5+1))≈0.2014, not the stated ≈0.4055; Q3's output vector (0.5724, 0.2138, 0.2138, 0.0000) also cannot follow from its own softmax weights (0.3656, 0.1345, 0.3656, 0.1345)."
S007,7,Pass,None,"Correctly credits 12_vlm_vit_clip_reasoning.md, and the claimed grounding in Problems 1/4/5/6 of its seven worked problems all verifies against the file; alignment notes not credited."
S008,1,Pass,None,"All numbers match the notes' Problem 1 exactly (196 patches, 197 tokens, 590,592 patch-embedding params); source_mode=file."
S008,2,Small Issue,Other,"Content reproduces Problems 3-4 exactly (0.7361 to 0.3065, 0.6653 to 0.4076, avg 0.3739) but source_mode='none' despite the explicit 'same notes' instruction - grounding not registered."
S008,3,Small Issue,Other,"Shapes and Problems 5-6 reproduced exactly (weights 0.4011/0.1978/0.4011, output (3,4); 49 patches, (12,49) scores) but source_mode='none' again."
S008,4,Fail,Incorrect content,"Generated quiz Q3's answer key computes three attention scores [2,3,4] via dimensionally invalid dot products; the printed K defines two image-patch keys ([1,1,2],[0,1,0]) giving scores [3,1] - the key cannot be derived from its own question. The other five questions check out (393,728 params; token budget 75)."
S008,5,Small Issue,Changed unrelated content,"Student proposal has 6 questions with no answers (no leakage), but its per-question type layout (Q4 and Q6 MCQ) mismatches the generated quiz (Q5 and Q6 MCQ), so 'same six questions' is not guaranteed."
S008,6,Pass,None,Study-notes proposal covers exactly the three built-up topics with the correct course_material_id for the VLM file.
S008,7,Fail,Changed unrelated content,"The 'trim the study notes' refine targets assessment b5583de6 - the Turn-4 quiz artifact, not the notes - so executing it would overwrite the quiz with condensed notes."
S008,8,Fail,Other,"Says 'Here's a concise topic summary... ready to embed' but attaches no summary text, suggestion, or refine - nothing was actually delivered."
S008,9,Small Issue,Incorrect content,"Correctly confirms the single source 12_vlm_vit_clip_reasoning.md, but the inventory mislabels the only generated quiz as 'student version, no answers' (it was the teacher version with an answer key) and lists a topic summary that was never delivered."
S009,1,Small Issue,Incorrect content,"DDIM essentials right (x-hat_0, step-skipping, eta=0 deterministic ODE, collapse to DDPM at t'=t-1 with eta=1) but sigma_t is printed with the second ratio inverted (1 - alpha-bar_t'/alpha-bar_t, which is negative for t>t'; notes give 1 - alpha-bar_t/alpha-bar_t')."
S009,2,Small Issue,Incorrect content,"Eta behavior all correct (eta=0 makes sigma_t=0, z_t vanishes, reversible ODE; eta=1 approaches DDPM) but repeats the same inverted sigma_t ratio from Turn 1."
S009,3,Pass,None,"DDPM one-step Markovian formula matches the notes exactly, collapse condition (t'=t-1, eta=1) stated, and the thread from turns 1-2 is continued without restart."
S009,4,Small Issue,Incorrect content,"10-question quiz well grounded in the notes' exam keywords (collapse condition, ODE solver, boundary conditions, reparameterization), but Q3 inverts the first sigma_t ratio and Q9 misquotes the DDPM step as X_t - eps/sqrt(1-alpha-bar_t) + sigma z (drops the 1/sqrt(alpha_t) prefactor and (1-alpha_t) coefficient)."
S009,5,Pass,None,"Refine targets the correct assessment, keeps the same topic and 10 questions while raising difficulty - exactly what 'harder' asked."
S009,6,Pass,None,"Answer key covers all 10 questions without altering them; eta=0 gives sigma_t=0, the eta=1/no-skip collapse, and X_T ~ N(0,I) boundary answers all agree with the notes (key reflects the pre-refine quiz, acceptable under the one-generation cap)."
S010,1,Small Issue,Incorrect content,"'quizz on difussion frm the notes' parsed correctly and the 20-question quiz is grounded in the cheat sheet, but key Q13 says alpha-bar_3 ~ 0.9415 (0.99*0.98*0.97 = 0.9411) and Q20 prints sigma_t with the first ratio inverted vs the notes."
S010,2,Small Issue,Missed instruction,"'add qustion abt the varaince schedual' (singular) understood and correctly themed, but the refine adds 3-4 questions where the scenario expects exactly one."
S010,3,Small Issue,Missed instruction,"SNR intent read through the typos and the formula SNR_t = alpha-bar_t/(1-alpha-bar_t) is correct, but the instruction allows 'Add 1-2' questions where exactly one was asked."
S010,4,Pass,None,"Adds a single eta question grounded exactly in the notes' Deterministic DDIM caveat (eta=0 makes sigma_t=0, z_t disappears, perfectly reversible)."
S010,5,Small Issue,Lost previous work,"Conversion to 4-option single-answer MCQ is correctly specified and re-lists the variance/SNR/eta topics, but it pins 'Total: 20 MCQ' despite having claimed ~5-7 added questions in turns 2-4 - executing it as written would drop items."
S010,6,Pass,None,"Student copy instruction removes answer key, explanations, and rubric with an explicit no-student-facing-answers guard; no leakage visible."
S010,7,Pass,None,Teacher version keeps the student questions unchanged and adds a separate key with 1-2 sentence explanations grounded in 06_diffusion_ddpm_ddim_notes.pdf.
S010,8,Pass,None,Names 06_diffusion_ddpm_ddim_notes.pdf as the sole source; no other or non-existent file claimed.
S011,1,Fail,Incorrect content,"Strong lecture arc on the right file, but it teaches S_true = -eps/sigma^2 while the notes give -eps/sigma under x-tilde = x + sigma*eps, misstates ALD as alpha_i*S + sqrt(2*alpha_i)*Z (notes: (alpha_i/2)*S + sqrt(alpha_i)*Z per their own trap warning), and the generated quiz key computes alpha_i = 0.032 where eps_step*sigma_i^2/sigma_L^2 = 0.02*0.16/0.01 = 0.32."
S011,2,Fail,Incorrect content,The single board formula requested is delivered as -eps/sigma^2 = grad log p - wrong against the notes' -eps/sigma = (x - x-tilde)/sigma^2 and dimensionally inconsistent with its own stated forward process x-tilde = x + sigma*eps.
S011,3,Small Issue,Incorrect content,"Noise-conditional S_theta(x-tilde, sigma) and the lambda(sigma)=sigma^2 balancing story are right, but the loss target is again written eps/sigma^2 and the annealed step-size connection (alpha_i = eps_step*sigma_i^2/sigma_L^2 shrinking toward sigma_L) never appears."
S011,4,Fail,Incorrect content,"Exactly four sections that visibly target the misconception, but the board carries -eps/sigma^2, the wrong ALD coefficients, and inverts the weighting rationale ('high noise gets lower weight' - lambda(sigma)=sigma^2 gives high noise the HIGHER weight)."
S011,5,Fail,Incorrect content,"Well-designed 3-minute pair check that preserves the four sections, but its teach-back correction asserts the scaling factor is 1/sigma^2 and the loss target eps/sigma^2 - the activity's checkable answer contradicts the notes' -eps/sigma."
S011,6,Small Issue,Incorrect content,"Exactly three exit tickets, on-topic with a sensible rubric and no drift to DDPM/flow/VAE, but Q1's printed definition S_true = -eps/sigma^2 propagates the same wrong formula to students."
S011,7,Pass,None,Points to 05_ncsn_score_based_models_notes.pdf as primary reading with formula numbering (1-7) that matches the real file; the 'slides' framing is loose but no false source is claimed.
S012,1,Fail,Clarification problem,"Fully specified 6-rule prompt gets 'let me confirm one quick choice before I finalize the plan:' with clarify=null - no question is ever posed and no plan, timings, examples, or exit ticket are delivered."
S012,2,Small Issue,Missed instruction,"Recovers with a lesson-plan card honoring the 10-min recap and 35-min interpolant (+5) in text, but params carry only topic/duration - the 2-example, exit-ticket, no-code, and sum-to-90 constraints are not encoded anywhere."
S012,3,Small Issue,Missed instruction,"Swap of example 2 for a target-velocity example is acknowledged in text, but the proposal params are again bare, so 'only example 2 replaced, still exactly 2 examples' is not verifiable or guaranteed."
S012,4,Fail,Missed instruction,"Structure finally appears and the 2-min ODE note is correct (deterministic variant, halved score term), but section timings sum to 88 (10+2+35+8+10+13+10), breaking the sum-to-90 rule, and an unrequested 13-min CFM overview section is inserted."
S012,5,Pass,None,"Keeps exactly 5 questions while raising difficulty; the harder set (visible via Turn 6) stays entirely inside the notes' Parts 1-5 (reverse SDE, interpolant, CFM master equation, OT coupling, Mean-Flow)."
S012,6,Pass,None,"Separate key matches all 5 questions and the notes exactly: reverse SDE, v = x1 - x0 constant, CFM master velocity m-dot + (a-dot/a)(x_t - m) with the derivative-first trap, OT cost ||x0i - x1j||^2, and the Mean-Flow loss with StopGradient plus its 'mathematically invalid' warning."
S012,7,Small Issue,Incorrect content,"TA handout keeps both worked examples (arithmetic correct: x_t = [1-t, t], v = [-1,1]) and the exit ticket with no code, but the timing table sums to 78 and invents a '12 slack/Q&A' entry to claim 90, writes VE-SDE as dx = sigma(t)^2 dW (notes: sqrt(d sigma^2(t)/dt) dW), and silently drops the CFM overview section from Turn 4."
S012,8,Pass,None,"Confirms 07_flow_matching_notes.pdf as the only source - accurate, since even the OT and Mean-Flow content genuinely lives in that file's Parts 4-5."
S013,1,Pass,None,"LLM/VLM/MLLM definitions match slide 2 verbatim (VLM = LLM + vision encoder, text output; MLLM = text/images/video/audio), source_mode=file. Note: the harness never appended the auditor's one added instruction, so only the base prompt could be graded."
S013,2,Pass,None,One apt example per type (LLM text-only summary; VLM photo of equation to text solution; MLLM video+audio+text) with the turn-1 definitions preserved verbatim.
S013,3,Pass,None,"Exclusion list matches slide 3 exactly (Convolutions+Attention, CNNs, RNNs, LSTMs, Transformers, how to train/evaluate/build/deploy) with a correct slide-3 citation; source_mode='none' despite the verbatim grounding is the only blemish."
S013,4,Pass,None,"Exactly 3 definitional questions, all answerable from slide 2 (VLM distinguishing feature; video+dialogue scenario resolving to MLLM; LLM/VLM/MLLM hierarchy)."
S013,5,Fail,Changed unrelated content,"No answer leakage, but the 'student version' silently replaced the Turn-4 questions (Q1 became a new handwritten-equation scenario, Q3 became MLLM-vs-VLM advantage) - grading the student copy with the Turn-4 key (B, C, ...) would misscore students."
S013,6,Pass,None,"Names 01_dvlm_introduction.pptx with an accurate slide-2 reference and honestly states the questions were derived from, not copied out of, the deck."
S014,1,Fail,Error or timeout,"Turn skipped by the harness ('no prompt parsed') - the auditor-composed RLHF explanation prompt never reached Fazah, so the scenario's opening beginner explanation was never produced or gradable."
